rx,ry,rz,tx,ty,tz
-0.037466,-0.051224,-0.044995,0.004913,-0.022312,0.007609
-0.035699,-0.048714,-0.039359,0.004445,-0.021150,0.005994
-0.033510,-0.045717,-0.032959,0.003935,-0.019820,0.004524
-0.030835,-0.042454,-0.026576,0.003447,-0.018169,0.003399
-0.028268,-0.038960,-0.019503,0.003094,-0.016779,0.001980
-0.025653,-0.035249,-0.012747,0.002703,-0.015244,0.000778
-0.023292,-0.031294,-0.005921,0.002159,-0.013889,-0.000664
-0.020654,-0.027329,0.000379,0.001767,-0.012196,-0.002029
-0.018264,-0.023386,0.006260,0.001333,-0.010814,-0.003584
-0.015923,-0.019549,0.011624,0.001015,-0.009571,-0.004745
-0.013539,-0.015940,0.016157,0.000719,-0.008321,-0.005721
-0.011566,-0.012310,0.020215,0.000190,-0.007587,-0.006867
-0.009289,-0.009340,0.023035,0.000092,-0.006502,-0.007396
-0.007858,-0.006748,0.025292,0.000018,-0.006307,-0.007948
-0.006243,-0.004696,0.026356,0.000054,-0.005761,-0.008136
-0.005271,-0.003203,0.026811,0.000114,-0.005733,-0.008033
-0.004926,-0.002313,0.026258,0.000250,-0.006113,-0.007693
-0.004691,-0.002228,0.024959,0.000670,-0.006361,-0.006825
-0.005176,-0.002291,0.022988,0.000788,-0.007093,-0.006052
-0.005831,-0.003125,0.020183,0.001338,-0.007739,-0.005521
-0.006892,-0.004080,0.016809,0.001601,-0.008617,-0.004934
-0.008472,-0.005475,0.012669,0.001976,-0.009842,-0.003836
-0.010199,-0.007286,0.008132,0.002533,-0.011081,-0.002672
-0.012387,-0.009214,0.002906,0.002955,-0.012554,-0.001723
-0.014686,-0.011339,-0.002805,0.003419,-0.013878,-0.000682
-0.017535,-0.013563,-0.008769,0.003899,-0.015503,0.000275
-0.020565,-0.016106,-0.015450,0.004538,-0.016952,0.000889
-0.023668,-0.018588,-0.022076,0.004968,-0.018236,0.001534
-0.027263,-0.021397,-0.028804,0.005557,-0.019860,0.002284
-0.030671,-0.024150,-0.035291,0.005891,-0.021219,0.003356
-0.034021,-0.027094,-0.041417,0.006292,-0.022513,0.004577
-0.037358,-0.030197,-0.047025,0.006786,-0.023824,0.005527
-0.040488,-0.033046,-0.051612,0.007059,-0.025139,0.006360
-0.043229,-0.035762,-0.055686,0.007248,-0.026307,0.007450
-0.045011,-0.038124,-0.058584,0.007312,-0.026876,0.008347
-0.046607,-0.040184,-0.060273,0.007386,-0.027747,0.009196
-0.047063,-0.041798,-0.060664,0.007401,-0.027825,0.009717
-0.047130,-0.042711,-0.059886,0.007222,-0.027950,0.009986
-0.046382,-0.042996,-0.058120,0.006966,-0.027589,0.010187
-0.045054,-0.042696,-0.055324,0.006765,-0.026896,0.010192
-0.043624,-0.041666,-0.051589,0.006481,-0.026318,0.009324
-0.041603,-0.039733,-0.046951,0.005890,-0.025362,0.008058
-0.039403,-0.037304,-0.041698,0.005440,-0.024494,0.006999
-0.036316,-0.034487,-0.036112,0.005173,-0.022902,0.005533
-0.033317,-0.030786,-0.029844,0.004394,-0.021557,0.003721
-0.030027,-0.027199,-0.023337,0.004196,-0.020017,0.002014
-0.026339,-0.023179,-0.016644,0.003650,-0.018042,0.000350
-0.022783,-0.019060,-0.009318,0.003125,-0.016226,-0.001224
-0.019131,-0.015185,-0.002372,0.002876,-0.014253,-0.002086
-0.016044,-0.011253,0.004780,0.002460,-0.012774,-0.003127
-0.012608,-0.007361,0.011547,0.001991,-0.010794,-0.004061
-0.009378,-0.003618,0.018025,0.001447,-0.008962,-0.005014
-0.006616,-0.000072,0.024094,0.000905,-0.007638,-0.005790
-0.003630,0.002958,0.029345,0.000629,-0.006048,-0.006249
-0.001255,0.005857,0.033844,0.000186,-0.005122,-0.006604
0.001494,0.008188,0.037395,0.000053,-0.003780,-0.006795
0.003341,0.010343,0.040260,-0.000248,-0.003367,-0.006574
0.005062,0.011782,0.042171,-0.000105,-0.002943,-0.006392
0.006385,0.013034,0.043098,-0.000150,-0.002693,-0.006167
0.006916,0.013824,0.043353,-0.000075,-0.003030,-0.005876
0.007437,0.013927,0.042268,0.000427,-0.003058,-0.005443
0.007130,0.014036,0.040641,0.000524,-0.003691,-0.005306
0.006459,0.013352,0.037813,0.001117,-0.004415,-0.005010
0.005690,0.012577,0.034427,0.001440,-0.005005,-0.004872
0.004029,0.011364,0.030357,0.001879,-0.006422,-0.004542
0.002622,0.009769,0.025709,0.002471,-0.007445,-0.003886
0.000623,0.008107,0.020538,0.002889,-0.008996,-0.003148
-0.001515,0.006014,0.014624,0.003538,-0.010461,-0.002566
-0.003912,0.003805,0.008304,0.004080,-0.011958,-0.002073
-0.006800,0.001286,0.001409,0.004732,-0.013711,-0.001330
-0.009611,-0.001188,-0.005666,0.005103,-0.015215,-0.000699
-0.012862,-0.004183,-0.012980,0.005797,-0.017037,-0.000029
-0.015863,-0.007339,-0.019974,0.006426,-0.018591,0.000910
-0.019057,-0.010408,-0.026779,0.006855,-0.020417,0.002171
-0.022173,-0.013836,-0.033309,0.007537,-0.022139,0.003560
-0.024784,-0.016895,-0.039229,0.007923,-0.023333,0.004838
-0.027698,-0.020010,-0.044492,0.008442,-0.024859,0.005914
-0.029880,-0.022754,-0.048849,0.008757,-0.025673,0.006981
-0.032105,-0.025117,-0.052233,0.008904,-0.026653,0.007841
-0.033932,-0.027237,-0.054639,0.009038,-0.027309,0.008446
-0.035194,-0.028824,-0.056029,0.009012,-0.027526,0.008639
-0.036270,-0.030107,-0.056360,0.009027,-0.027753,0.008967
-0.036682,-0.030916,-0.055622,0.008983,-0.027535,0.008710
-0.036793,-0.031020,-0.053824,0.008652,-0.027293,0.008319
-0.036313,-0.030855,-0.051208,0.008451,-0.026716,0.008057
